Class,Family,Number,Withdrawn?,Title,Impact,Priority,Description,Supplemental-Guidance,Enhancement 1 Impact,Enhancement 1 Description,Enhancement 1 Supplemental Guidance,Enhancement 2 Impact,Enhancement 2 Description,Enhancement 2 Supplemental Guidance,Enhancement 3 Impact,Enhancement 3 Description,Enhancement 3 Supplemental Guidance,Enhancement 4 Impact,Enhancement 4 Description,Enhancement 4 Supplemental Guidance,Enhancement 5 Impact,Enhancement 5 Description,Enhancement 5 Supplemental Guidance,Enhancement 6 Impact,Enhancement 6 Description,Enhancement 6 Supplemental Guidance,Enhancement 7 Impact,Enhancement 7 Description,Enhancement 7 Supplemental Guidance,Enhancement 8 Impact,Enhancement 8 Description,Enhancement 8 Supplemental Guidance,Enhancement 9 Impact,Enhancement 9 Description,Enhancement 9 Supplemental Guidance,Enhancement 10 Impact,Enhancement 10 Description,Enhancement 10 Supplemental Guidance,Enhancement 11 Impact,Enhancement 11 Description,Enhancement 11 Supplemental Guidance,Enhancement 12 Impact,Enhancement 12 Description,Enhancement 12 Supplemental Guidance,Enhancement 13 Impact,Enhancement 13 Description,Enhancement 13 Supplemental Guidance,Enhancement 14 Impact,Enhancement 14 Description,Enhancement 14 Supplemental Guidance,Enhancement 15 Impact,Enhancement 15 Description,Enhancement 15 Supplemental Guidance,Enhancement 16 Impact,Enhancement 16 Description,Enhancement 16 Supplemental Guidance,Enhancement 17 Impact,Enhancement 17 Description,Enhancement 17 Supplemental Guidance,Enhancement 18 Impact,Enhancement 18 Description,Enhancement 18 Supplemental Guidance
Operational,Maintenance,MA-4,,Non-local Maintenance,LOW_MODERATE_HIGH,P1,"The organization: Authorizes, monitors, and controls non-local maintenance and diagnostic activities; Allows the use of non-local maintenance and diagnostic tools only as consistent with organizational policy and documented in the security plan for the information system; Employs strong identification and authentication techniques in the establishment of non-local maintenance and diagnostic sessions; Maintains records for non-local maintenance and diagnostic activities; and Terminates all sessions and network connections when non-local maintenance is completed. ","Non-local maintenance and diagnostic activities are those activities conducted by individuals communicating through a network; either an external network (e.g., the Internet) or an internal network. Local maintenance and diagnostic activities are those activities carried out by individuals physically present at the information system or information system component and not communicating across a network connection. Identification and authentication techniques used in the establishment of non-local maintenance and diagnostic sessions are consistent with the network access requirements in IA-2. Strong authenticators include, for example, PKI where certificates are stored on a token protected by a password, passphrase, or biometric. Enforcing requirements in MA-4 is accomplished in part, by other controls. Related controls: AC-2, AC-3, AC-6, AC-17, AU-2, AU-3, IA-2, IA-8, MA-5, MP-6, SC-7. ",MODERATE_HIGH,The organization audits non-local maintenance and diagnostic sessions and designated organizational personnel review the maintenance records of the sessions. ,,MODERATE_HIGH,"The organization documents, in the security plan for the information system, the installation and use of non-local maintenance and diagnostic connections. ",,HIGH,"The organization: Requires that non-local maintenance and diagnostic services be performed from an information system that implements a level of security at least as high as that implemented on the system being serviced; or Removes the component to be serviced from the information system and prior to non-local maintenance or diagnostic services, sanitizes the component (with regard to organizational information) before removal from organizational facilities, and after the service is performed, inspects and sanitizes the component (with regard to potentially malicious software and surreptitious implants) before reconnecting the component to the information system. ",,NONE,The organization protects non-local maintenance sessions through the use of a strong authenticator tightly bound to the user and by separating the maintenance session from other network sessions with the information system by either: Physically separated communications paths; or Logically separated communications paths based upon encryption. ,Related control: SC-13. ,NONE,"The organization requires that: Maintenance personnel notify [ Assignment: organization-defined personnel ] when non-local maintenance is planned (i.e., date/time); and A designated organizational official with specific information security/information system knowledge approves the non-local maintenance. ",,NONE,The organization employs cryptographic mechanisms to protect the integrity and confidentiality of non-local maintenance and diagnostic communications. ,,NONE,The organization employs remote disconnect verification at the termination of non-local maintenance and diagnostic sessions. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Maintenance,MA-5,,Maintenance Personnel,LOW_MODERATE_HIGH,P1,The organization: Establishes a process for maintenance personnel authorization and maintains a current list of authorized maintenance organizations or personnel; and Ensures that personnel performing maintenance on the information system have required access authorizations or designates organizational personnel with required access authorizations and technical competence deemed necessary to supervise information system maintenance when maintenance personnel do not possess the required access authorizations. ,"Individuals not previously identified in the information system, such as vendor personnel and consultants, may legitimately require privileged access to the system, for example, when required to conduct maintenance or diagnostic activities with little or no notice. Based on a prior assessment of risk, the organization may issue temporary credentials to these individuals. Temporary credentials may be for one-time use or for a very limited time period. Related controls: IA-8, MA-5. ",NONE,"The organization maintains procedures for the use of maintenance personnel that lack appropriate security clearances or are not U.S. citizens, that include the following requirements: Maintenance personnel who do not have needed access authorizations, clearances, or formal access approvals are escorted and supervised during the performance of maintenance and diagnostic activities on the information system by approved organizational personnel who are fully cleared, have appropriate access authorizations, and are technically qualified; Prior to initiating maintenance or diagnostic activities by personnel who do not have needed access authorizations, clearances or formal access approvals, all volatile information storage components within the information system are sanitized and all nonvolatile storage media are removed or physically disconnected from the system and secured; and In the event an information system component cannot be sanitized, the procedures contained in the security plan for the system are enforced. ","The intent of this control enhancement is to deny individuals who lack appropriate security clearances (i.e., individuals who do not possess security clearances or possess security clearances at a lower level than required) or who are not U.S. citizens, visual and electronic access to any classified information, Controlled Unclassified Information (CUI), or any other sensitive information contained on the information system. Procedures for the use of maintenance personnel can be documented in the security plan for the information system. ",NONE,"The organization ensures that personnel performing maintenance and diagnostic activities on an information system processing, storing, or transmitting classified information are cleared (i.e., possess appropriate security clearances) for the highest level of information on the system. ",,NONE,"The organization ensures that personnel performing maintenance and diagnostic activities on an information system processing, storing, or transmitting classified information are U.S. citizens. ",,NONE,"The organization ensures that: Cleared foreign nationals (i.e., foreign nationals with appropriate security clearances), are used to conduct maintenance and diagnostic activities on an information system only when the system is jointly owned and operated by the United States and foreign allied governments, or owned and operated solely by foreign allied governments; and Approvals, consents, and detailed operational conditions regarding the use of foreign nationals to conduct maintenance and diagnostic activities on an information system are fully documented within a Memorandum of Agreement. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Maintenance,MA-6,,Timely Maintenance,MODERATE_HIGH,P1,The organization obtains maintenance support and/or spare parts for [ Assignment: organization-defined list of security-critical information system components and/or key information technology components ] within [ Assignment: organization-defined time period ] of failure. ,"The organization specifies those information system components that, when not operational, result in increased risk to organizations, individuals, or the Nation because the security functionality intended by that component is not being provided. Security-critical components include, for example, firewalls, guards, gateways, intrusion detection systems, audit repositories, authentication servers, and intrusion prevention systems. Related control: CP-2. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Media Protection,MP-1,,Media Protection Policy and Procedures,LOW_MODERATE_HIGH,P1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented media protection policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the media protection policy and associated media protection controls. ","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the media protection family. The policy and procedures are consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. Existing organizational policies and procedures may make the need for additional specific policies and procedures unnecessary. The media protection policy can be included as part of the general information security policy for the organization. Media protection procedures can be developed for the security program in general and for a particular information system, when required. The organizational risk management strategy is a key factor in the development of the media protection policy. Related control: PM-9. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Media Protection,MP-2,,Media Access,LOW_MODERATE_HIGH,P1,The organization restricts access to [ Assignment: organization-defined types of digital and non-digital media ] to [ Assignment: organization-defined list of authorized individuals ] using [ Assignment: organization-defined security measures ]. ,"Information system media includes both digital media (e.g., diskettes, magnetic tapes, external/removable hard drives, flash/thumb drives, compact disks, digital video disks) and non-digital media (e.g., paper, microfilm). This control also applies to mobile computing and communications devices with information storage capability (e.g., notebook/laptop computers, personal digital assistants, cellular telephones, digital cameras, and audio recording devices). An organizational assessment of risk guides the selection of media and associated information contained on that media requiring restricted access. Organizations document in policy and procedures, the media requiring restricted access, individuals authorized to access the media, and the specific measures taken to restrict access. Fewer protection measures are needed for media containing information determined by the organization to be in the public domain, to be publicly releasable, or to have limited or no adverse impact if accessed by other than authorized personnel. In these situations, it is assumed that the physical access controls where the media resides provide adequate protection. Related controls: MP-4, PE-3. ",MODERATE_HIGH,The organization employs automated mechanisms to restrict access to media storage areas and to audit access attempts and access granted. ,"This control enhancement is primarily applicable to media storage areas within an organization where a significant volume of media is stored and is not applicable to every location where some media is stored (e.g., in individual offices). ",NONE,The information system uses cryptographic mechanisms to protect and restrict access to information on portable digital media. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Media Protection,MP-3,,Media Marking,MODERATE_HIGH,P1,"The organization: Marks, in accordance with organizational policies and procedures, removable information system media and information system output indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information; and Exempts [ Assignment: organization-defined list of removable media types ] from marking as long as the exempted items remain within [ Assignment: organization-defined controlled areas ]. ","The term marking is used when referring to the application or use of human-readable security attributes. The term labeling is used when referring to the application or use of security attributes with regard to internal data structures within the information system (see AC-16, Security Attributes). Removable information system media includes both digital media (e.g., diskettes, magnetic tapes, external/removable hard drives, flash/thumb drives, compact disks, digital video disks) and non-digital media (e.g., paper, microfilm). An organizational assessment of risk guides the selection of media requiring marking. Marking is generally not required for media containing information determined by the organization to be in the public domain or to be publicly releasable. Some organizations, however, may require markings for public information indicating that the information is publicly releasable. Organizations may extend the scope of this control to include information system output devices containing organizational information, including, for example, monitors and printers. Marking of removable media and information system output is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Media Protection,MP-4,,Media Storage,MODERATE_HIGH,P1,"The organization: Physically controls and securely stores [ Assignment: organization-defined types of digital and non-digital media ] within [ Assignment: organization-defined controlled areas ] using [ Assignment: organization-defined security measures ]; Protects information system media until the media are destroyed or sanitized using approved equipment, techniques, and procedures ","Information system media includes both digital media (e.g., diskettes, magnetic tapes, external/removable hard drives, flash/thumb drives, compact disks, digital video disks) and non-digital media (e.g., paper, microfilm). This control also applies to mobile computing and communications devices with information storage capability (e.g., notebook/laptop computers, personal digital assistants, cellular telephones, digital cameras, and audio recording devices). Telephone systems are also considered information systems and may have the capability to store information on internal media (e.g., on voicemail systems). Since telephone systems do not have, in most cases, the identification, authentication, and access control mechanisms typically employed in other information systems, organizational personnel use extreme caution in the types of information stored on telephone voicemail systems. A controlled area is any area or space for which the organization has confidence that the physical and procedural protections are sufficient to meet the requirements established for protecting the information and/or information system. An organizational assessment of risk guides the selection of media and associated information contained on that media requiring physical protection. Fewer protection measures are needed for media containing information determined by the organization to be in the public domain, to be publicly releasable, or to have limited or no adverse impact on the organization or individuals if accessed by other than authorized personnel. In these situations, it is assumed that the physical access controls to the facility where the media resides provide adequate protection. As part of a defense-in-depth strategy, the organization considers routinely encrypting information at rest on selected secondary storage devices. The employment of cryptography is at the discretion of the information owner/steward. The selection of the cryptographic mechanisms used is based upon maintaining the confidentiality and integrity of the information. The strength of mechanisms is commensurate with the classification and sensitivity of the information. Related controls: AC-3, AC-19, CP-6, CP-9, MP-2, PE-3. ",NONE,The organization employs cryptographic mechanisms to protect information in storage. ,Related control: SC-13. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Media Protection,MP-5,,Media Transport,MODERATE_HIGH,P1,The organization: Protects and controls [ Assignment: organization-defined types of digital and non-digital media ] during transport outside of controlled areas using [ Assignment: organization-defined security measures ]; Maintains accountability for information system media during transport outside of controlled areas; and Restricts the activities associated with transport of such media to authorized personnel. ,"Information system media includes both digital media (e.g., diskettes, magnetic tapes, removable hard drives, flash/thumb drives, compact disks, digital video disks) and non-digital media (e.g., paper, microfilm). This control also applies to mobile computing and communications devices with information storage capability (e.g., notebook/laptop computers, personal digital assistants, cellular telephones, digital cameras, and audio recording devices) that are transported outside of controlled areas. Telephone systems are also considered information systems and may have the capability to store information on internal media (e.g., on voicemail systems). Since telephone systems do not have, in most cases, the identification, authentication, and access control mechanisms typically employed in other information systems, organizational personnel use caution in the types of information stored on telephone voicemail systems that are transported outside of controlled areas. A controlled area is any area or space for which the organization has confidence that the physical and procedural protections provided are sufficient to meet the requirements established for protecting the information and/or information system. Physical and technical security measures for the protection of digital and non-digital media are commensurate with the classification or sensitivity of the information residing on the media, and consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. Locked containers and cryptography are examples of security measures available to protect digital and non-digital media during transport. Cryptographic mechanisms can provide confidentiality and/or integrity protections depending upon the mechanisms used. An organizational assessment of risk guides: (i) the selection of media and associated information contained on that media requiring protection during transport; and (ii) the selection and use of storage containers for transporting non-digital media. Authorized transport and courier personnel may include individuals from outside the organization (e.g., U.S. Postal Service or a commercial transport or delivery service). Related controls: AC-19, CP-9. ",NONE,[ Withdrawn: Incorporated into MP-5 ]. ,,MODERATE_HIGH,The organization documents activities associated with the transport of information system media. ,Organizations establish documentation requirements for activities associated with the transport of information system media in accordance with the organizational assessment of risk to include the flexibility to define different record-keeping methods for different types of media transport as part of an overall system of transport-related records. ,HIGH,The organization employs an identified custodian throughout the transport of information system media. ,Custodial responsibilities can be transferred from one individual to another as long as an unambiguous custodian is identified at all times. ,MODERATE_HIGH,The organization employs cryptographic mechanisms to protect the confidentiality and integrity of information stored on digital media during transport outside of controlled areas. ,"This control enhancement also applies to mobile devices. Mobile devices include portable storage media (e.g., USB memory sticks, external hard disk drives) and portable computing and communications devices with storage capability (e.g., notebook/laptop computers, personal digital assistants, cellular telephones). Related control: MP-4. Related controls: MP-2; SC-13. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Media Protection,MP-6,,Media Sanitization,LOW_MODERATE_HIGH,P1,"The organization: Sanitizes information system media, both digital and non-digital, prior to disposal, release out of organizational control, or release for reuse; and Employs sanitization mechanisms with strength and integrity commensurate with the classification or sensitivity of the information. ","This control applies to all media subject to disposal or reuse, whether or not considered removable. Sanitization is the process used to remove information from information system media such that there is reasonable assurance that the information cannot be retrieved or reconstructed. Sanitization techniques, including clearing, purging, and destroying media information, prevent the disclosure of organizational information to unauthorized individuals when such media is reused or released for disposal. The organization uses its discretion on the employment of sanitization techniques and procedures for media containing information deemed to be in the public domain or publicly releasable, or deemed to have no adverse impact on the organization or individuals if released for reuse or disposal. ",HIGH,"The organization tracks, documents, and verifies media sanitization and disposal actions. ",,HIGH,The organization tests sanitization equipment and procedures to verify correct performance [ Assignment: organization-defined frequency ]. ,,HIGH,"The organization sanitizes portable, removable storage devices prior to connecting such devices to the information system under the following circumstances: [ Assignment: organization-defined list of circumstances requiring sanitization of portable, removable storage devices ]. ","Portable, removable storage devices (e.g., thumb drives, flash drives, external storage devices) can be the source of malicious code insertions into organizational information systems. Many of these devices are obtained from unknown sources and may contain various types of malicious code that can be readily transferred to the information system through USB ports or other entry portals. While scanning such devices is always recommended, sanitization provides additional assurance that the device is free of all malicious code to include code capable of initiating zero-day attacks. Organizations consider sanitization of portable, removable storage devices, for example, when such devices are first purchased from the manufacturer or vendor prior to initial use or when the organization loses a positive chain of custody for the device. An organizational assessment of risk guides the specific circumstances for employing the sanitization process. Related control: SI-3. ",NONE,The organization sanitizes information system media containing Controlled Unclassified Information (CUI) or other sensitive information in accordance with applicable organizational and/or federal standards and policies. ,,NONE,The organization sanitizes information system media containing classified information in accordance with NSA standards and policies. ,,NONE,The organization destroys information system media that cannot be sanitized. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-1,,Physical and Environmental Protection Policy and Procedures,LOW_MODERATE_HIGH,P1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented physical and environmental protection policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the physical and environmental protection policy and associated physical and environmental protection controls. ","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the physical and environmental protection family. The policy and procedures are consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. Existing organizational policies and procedures may make the need for additional specific policies and procedures unnecessary. The physical and environmental protection policy can be included as part of the general information security policy for the organization. Physical and environmental protection procedures can be developed for the security program in general and for a particular information system, when required. The organizational risk management strategy is a key factor in the development of the physical and environmental protection policy. Related control: PM-9. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-2,,Physical Access Authorizations,LOW_MODERATE_HIGH,P1,"The organization: Develops and keeps current a list of personnel with authorized access to the facility where the information system resides (except for those areas within the facility officially designated as publicly accessible); Issues authorization credentials; Reviews and approves the access list and authorization credentials [ Assignment: organization-defined frequency ], removing from the access list personnel no longer requiring access. ","Authorization credentials include, for example, badges, identification cards, and smart cards. Related control: PE-3, PE-4. ",NONE,The organization authorizes physical access to the facility where the information system resides based on position or role. ,,NONE,The organization requires two forms of identification to gain access to the facility where the information system resides. ,"Examples of forms of identification are identification badge, key card, cipher PIN, and biometrics. ",NONE,The organization restricts physical access to the facility containing an information system that processes classified information to authorized personnel with appropriate clearances and access authorizations. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-3,,Physical Access Control,LOW_MODERATE_HIGH,P1,"The organization: Enforces physical access authorizations for all physical access points (including designated entry/exit points) to the facility where the information system resides (excluding those areas within the facility officially designated as publicly accessible); Verifies individual access authorizations before granting access to the facility; Controls entry to the facility containing the information system using physical access devices and/or guards; Controls access to areas officially designated as publicly accessible in accordance with the organizations assessment of risk; Secures keys, combinations, and other physical access devices; Inventories physical access devices [ Assignment: organization-defined frequency ]; and Changes combinations and keys [ Assignment: organization-defined frequency ] and when keys are lost, combinations are compromised, or individuals are transferred or terminated. ","The organization determines the types of guards needed, for example, professional physical security staff or other personnel such as administrative staff or information system users, as deemed appropriate. Physical access devices include, for example, keys, locks, combinations, and card readers. Workstations and associated peripherals connected to (and part of) an organizational information system may be located in areas designated as publicly accessible with access to such devices being safeguarded. Related controls: MP-2, MP-4, PE-2 ",HIGH,The organization enforces physical access authorizations to the information system independent of the physical access controls for the facility ,"This control enhancement applies to server rooms, media storage areas, communications centers, or any other areas within an organizational facility containing large concentrations of information system components. The intent is to provide additional physical security for those areas where the organization may be more vulnerable due to the concentration of information system components. Security requirements for facilities containing organizational information systems that process, store, or transmit Sensitive Compartmented Information (SCI) are consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. See also PS-3, security requirements for personnel access to SCI. ",NONE,The organization performs security checks at the physical boundary of the facility or information system for unauthorized exfiltration of information or information system components. ,The extent/frequency or randomness of the checks is as deemed necessary by the organization to adequately mitigate risk associated with exfiltration. ,NONE,"The organization guards, alarms, and monitors every physical access point to the facility where the information system resides 24 hours per day, 7 days per week. ",,NONE,The organization uses lockable physical casings to protect [ Assignment: organization-defined information system components ] from unauthorized physical access. ,,NONE,The information system detects/prevents physical tampering or alteration of hardware components within the system. ,,NONE,"The organization employs a penetration testing process that includes [ Assignment: organization-defined frequency ], unannounced attempts to bypass or circumvent security controls associated with physical access points to the facility. ",Related control: CA-2. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-4,,Access Control for Transmission Medium,MODERATE_HIGH,P1,The organization controls physical access to information system distribution and transmission lines within organizational facilities. ,"Physical protections applied to information system distribution and transmission lines help prevent accidental damage, disruption, and physical tampering. Additionally, physical protections are necessary to help prevent eavesdropping or in transit modification of unencrypted transmissions. Protective measures to control physical access to information system distribution and transmission lines include: (i) locked wiring closets; (ii) disconnected or locked spare jacks; and/or (iii) protection of cabling by conduit or cable trays. Related control: PE-2. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-5,,Access Control for Output Devices,MODERATE_HIGH,P1,The organization controls physical access to information system output devices to prevent unauthorized individuals from obtaining the output. ,"Monitors, printers, and audio devices are examples of information system output devices. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-6,,Monitoring Physical Access,LOW_MODERATE_HIGH,P1,The organization: Monitors physical access to the information system to detect and respond to physical security incidents; Reviews physical access logs [ Assignment: organization-defined frequency ]; and Coordinates results of reviews and investigations with the organizations incident response capability. ,"Investigation of and response to detected physical security incidents, including apparent security violations or suspicious physical access activities, are part of the organizations incident response capability. ",MODERATE_HIGH,The organization monitors real-time physical intrusion alarms and surveillance equipment. ,,HIGH,The organization employs automated mechanisms to recognize potential intrusions and initiate designated response actions. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-7,,Visitor Control,LOW_MODERATE_HIGH,P1,The organization controls physical access to the information system by authenticating visitors before authorizing access to the facility where the information system resides other than areas designated as publicly accessible. ,"Individuals (to include organizational employees, contract personnel, and others) with permanent authorization credentials for the facility are not considered visitors. ",MODERATE_HIGH,"The organization escorts visitors and monitors visitor activity, when required. ",,NONE,The organization requires two forms of identification for visitor access to the facility. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-8,,Access Records,LOW_MODERATE_HIGH,P3,The organization: Maintains visitor access records to the facility where the information system resides (except for those areas within the facility officially designated as publicly accessible); and Reviews visitor access records [ Assignment: organization-defined frequency ]. ,"Visitor access records include, for example, name/organization of the person visiting, signature of the visitor, form(s) of identification, date of access, time of entry and departure, purpose of visit, and name/organization of person visited. ",HIGH,The organization employs automated mechanisms to facilitate the maintenance and review of access records. ,,HIGH,"The organization maintains a record of all physical access, both visitor and authorized individuals. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-9,,Power Equipment and Power Cabling,MODERATE_HIGH,P1,The organization protects power equipment and power cabling for the information system from damage and destruction. ,"This control, to include any enhancements specified, may be satisfied by similar requirements fulfilled by another organizational entity other than the information security program. Organizations avoid duplicating actions already covered. ",NONE,The organization employs redundant and parallel power cabling paths. ,,NONE,The organization employs automatic voltage controls for [ Assignment: organization-defined list of critical information system components ]. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-10,,Emergency Shutoff,MODERATE_HIGH,P1,The organization: Provides the capability of shutting off power to the information system or individual system components in emergency situations; Places emergency shutoff switches or devices in [ Assignment: organization-defined location by information system or system component ] to facilitate safe and easy access for personnel; and Protects emergency power shutoff capability from unauthorized activation. ,"This control applies to facilities containing concentrations of information system resources, for example, data centers, server rooms, and mainframe computer rooms. ",NONE,[ Withdrawn: Incorporated into PE-10 ]. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-11,,Emergency Power,MODERATE_HIGH,P1,The organization provides a short-term uninterruptible power supply to facilitate an orderly shutdown of the information system in the event of a primary power source loss. ,"This control, to include any enhancements specified, may be satisfied by similar requirements fulfilled by another organizational entity other than the information security program. Organizations avoid duplicating actions already covered. ",HIGH,The organization provides a long-term alternate power supply for the information system that is capable of maintaining minimally required operational capability in the event of an extended loss of the primary power source. ,,NONE,The organization provides a long-term alternate power supply for the information system that is self-contained and not reliant on external power generation. ,Long-term alternate power supplies for the information system are either manually or automatically activated. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-12,,Emergency Lighting,LOW_MODERATE_HIGH,P1,The organization employs and maintains automatic emergency lighting for the information system that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility. ,"This control, to include any enhancements specified, may be satisfied by similar requirements fulfilled by another organizational entity other than the information security program. Organizations avoid duplicating actions already covered. ",NONE,The organization provides emergency lighting for all areas within the facility supporting essential missions and business functions. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-13,,Fire Protection,LOW_MODERATE_HIGH,P1,The organization employs and maintains fire suppression and detection devices/systems for the information system that are supported by an independent energy source. ,"Fire suppression and detection devices/systems include, for example, sprinkler systems, handheld fire extinguishers, fixed fire hoses, and smoke detectors. This control, to include any enhancements specified, may be satisfied by similar requirements fulfilled by another organizational entity other than the information security program. Organizations avoid duplicating actions already covered. ",MODERATE_HIGH,The organization employs fire detection devices/systems for the information system that activate automatically and notify the organization and emergency responders in the event of a fire. ,,MODERATE_HIGH,The organization employs fire suppression devices/systems for the information system that provide automatic notification of any activation to the organization and emergency responders. ,,MODERATE_HIGH,The organization employs an automatic fire suppression capability for the information system when the facility is not staffed on a continuous basis. ,,NONE,The organization ensures that the facility undergoes [ Assignment: organization-defined frequency ] fire marshal inspections and promptly resolves identified deficiencies. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-14,,Temperature and Humidity Controls,LOW_MODERATE_HIGH,P1,The organization: Maintains temperature and humidity levels within the facility where the information system resides at [ Assignment: organization-defined acceptable levels ]; and Monitors temperature and humidity levels [ Assignment: organization-defined frequency ]. ,"This control, to include any enhancements specified, may be satisfied by similar requirements fulfilled by another organizational entity other than the information security program. Organizations avoid duplicating actions already covered. ",NONE,The organization employs automatic temperature and humidity controls in the facility to prevent fluctuations potentially harmful to the information system. ,,NONE,The organization employs temperature and humidity monitoring that provides an alarm or notification of changes potentially harmful to personnel or equipment. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-15,,Water Damage Protection,LOW_MODERATE_HIGH,P1,"The organization protects the information system from damage resulting from water leakage by providing master shutoff valves that are accessible, working properly, and known to key personnel. ","This control, to include any enhancements specified, may be satisfied by similar requirements fulfilled by another organizational entity other than the information security program. Organizations avoid duplicating actions already covered. ",HIGH,"The organization employs mechanisms that, without the need for manual intervention, protect the information system from water damage in the event of a water leak. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-16,,Delivery and Removal,LOW_MODERATE_HIGH,P1,"The organization authorizes, monitors, and controls [ Assignment: organization-defined types of information system components ] entering and exiting the facility and maintains records of those items. ",Effectively enforcing authorizations for entry and exit of information system components may require restricting access to delivery areas and possibly isolating the areas from the information system and media libraries. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Physical and Environmental Protection,PE-17,,Alternate Work Site,MODERATE_HIGH,P1,"The organization: Employs [ Assignment: organization-defined management, operational, and technical information system security controls ] at alternate work sites; Assesses as feasible, the effectiveness of security controls at alternate work sites; and Provides a means for employees to communicate with information security personnel in case of security incidents or problems. ","Alternate work sites may include, for example, government facilities or private residences of employees. The organization may define different sets of security controls for specific alternate work sites or types of sites. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
